# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.618446960449218750e+02 1.628562316894531250e+02 1.000039219856262207e+00
1.000000000000000000e+03 6.299807071685791016e+00 6.486042976379394531e+00 1.995743513107299805e-01
2.000000000000000000e+03 6.297173500061035156e+00 6.480216979980468750e+00 1.994847059249877930e-01
3.000000000000000000e+03 6.296267986297607422e+00 6.479302883148193359e+00 1.994706392288208008e-01
4.000000000000000000e+03 4.861278057098388672e+00 5.003005504608154297e+00 1.752791851758956909e-01
5.000000000000000000e+03 2.762969583272933960e-02 3.379954025149345398e-02 1.440688967704772949e-02
6.000000000000000000e+03 1.942381029948592186e-03 2.279964042827486992e-03 3.741784952580928802e-03
7.000000000000000000e+03 3.506956622004508972e-02 3.394844755530357361e-02 1.443859003484249115e-02
8.000000000000000000e+03 7.461808272637426853e-04 7.029910339042544365e-04 2.077732933685183525e-03
9.000000000000000000e+03 1.301352895097807050e-04 2.637238358147442341e-04 1.272592926397919655e-03
1.000000000000000000e+04 8.318213804159313440e-05 1.983119145734235644e-04 1.103542977944016457e-03
1.100000000000000000e+04 3.071007132530212402e-02 2.969471551477909088e-02 1.350375078618526459e-02
1.200000000000000000e+04 6.410120113287121058e-05 2.193505933973938227e-04 1.160604530014097691e-03
1.300000000000000000e+04 7.518885191529989243e-03 7.217426784336566925e-03 6.657421588897705078e-03
1.400000000000000000e+04 5.160598811926320195e-05 2.094649680657312274e-04 1.134150195866823196e-03
1.500000000000000000e+04 4.483808152144774795e-05 1.954154577106237411e-04 1.095454441383481026e-03
1.600000000000000000e+04 4.613504643202759326e-05 1.846996892709285021e-04 1.064995885826647282e-03
1.700000000000000000e+04 6.541034672409296036e-04 8.613113313913345337e-04 2.299825660884380341e-03
1.800000000000000000e+04 3.195937824784778059e-05 1.424675574526190758e-04 9.353471687063574791e-04
1.900000000000000000e+04 2.018976520048454404e-04 3.050248196814209223e-04 1.368618570268154144e-03
2.000000000000000000e+04 7.024280494078993797e-04 8.657566504552960396e-04 2.305753063410520554e-03
2.100000000000000000e+04 2.230052814411465079e-05 1.045727185555733740e-04 8.013532496988773346e-04
2.200000000000000000e+04 1.876539135992061347e-05 9.329407475888729095e-05 7.569058798253536224e-04
2.300000000000000000e+04 1.996255923586431891e-05 8.302710921270772815e-05 7.140436791814863682e-04
2.400000000000000000e+04 1.536461059004068375e-05 7.432389975292608142e-05 6.755835493095219135e-04
2.500000000000000000e+04 1.443769997422350571e-05 6.600654887733981013e-05 6.366611924022436142e-04
