0 [1.00e-01, 1.00e-01]
200 [4.18e-02, 8.71e-02]
400 [4.16e-02, 1.08e-01]
600 [4.15e-02, 1.24e-01]
800 [4.15e-02, 1.36e-01]
1000 [4.15e-02, 1.47e-01]
1200 [4.15e-02, 1.56e-01]
1400 [4.15e-02, 1.63e-01]
1600 [4.14e-02, 1.70e-01]
1800 [4.14e-02, 1.75e-01]
2000 [4.14e-02, 1.79e-01]
2200 [4.13e-02, 1.81e-01]
2400 [4.13e-02, 1.79e-01]
2600 [4.11e-02, 1.68e-01]
2800 [4.09e-02, 1.39e-01]
3000 [3.95e-02, 1.99e-02]
3200 [3.16e-02, 3.57e-03]
3400 [2.31e-02, 2.47e-03]
3600 [1.94e-02, 1.82e-03]
3800 [1.63e-02, 1.26e-03]
4000 [1.36e-02, 1.45e-03]
4200 [1.04e-02, 1.33e-03]
4400 [8.83e-03, 1.23e-03]
4600 [8.10e-03, 1.22e-03]
4800 [7.59e-03, 1.18e-03]
5000 [7.43e-03, 1.18e-03]
5200 [7.08e-03, 1.17e-03]
5400 [6.89e-03, 1.16e-03]
5600 [6.63e-03, 1.15e-03]
5800 [6.37e-03, 1.14e-03]
6000 [6.03e-03, 1.13e-03]
6200 [5.64e-03, 1.12e-03]
6400 [5.24e-03, 1.10e-03]
6600 [4.84e-03, 1.09e-03]
6800 [4.48e-03, 1.08e-03]
7000 [4.17e-03, 1.07e-03]
7200 [3.91e-03, 1.06e-03]
7400 [3.69e-03, 1.05e-03]
7600 [3.50e-03, 1.05e-03]
7800 [3.34e-03, 1.04e-03]
8000 [3.21e-03, 1.04e-03]
8200 [3.09e-03, 1.04e-03]
8400 [2.98e-03, 1.03e-03]
8600 [2.89e-03, 1.03e-03]
8800 [2.80e-03, 1.03e-03]
9000 [2.72e-03, 1.03e-03]
9200 [2.65e-03, 1.02e-03]
9400 [2.59e-03, 1.02e-03]
9600 [2.53e-03, 1.02e-03]
9800 [2.47e-03, 1.02e-03]
10000 [2.42e-03, 1.02e-03]
10200 [2.38e-03, 1.02e-03]
10400 [2.33e-03, 1.01e-03]
10600 [2.29e-03, 1.01e-03]
10800 [2.25e-03, 1.01e-03]
11000 [2.22e-03, 1.01e-03]
11200 [2.18e-03, 1.01e-03]
11400 [2.15e-03, 1.01e-03]
11600 [2.12e-03, 1.01e-03]
11800 [2.09e-03, 1.01e-03]
12000 [2.06e-03, 1.01e-03]
12200 [2.03e-03, 1.00e-03]
12400 [2.01e-03, 1.00e-03]
12600 [1.98e-03, 1.00e-03]
12800 [1.96e-03, 1.00e-03]
13000 [1.94e-03, 1.00e-03]
13200 [1.92e-03, 1.00e-03]
13400 [1.90e-03, 1.00e-03]
13600 [1.88e-03, 1.00e-03]
13800 [1.86e-03, 1.00e-03]
14000 [1.84e-03, 9.99e-04]
14200 [1.83e-03, 9.99e-04]
14400 [1.81e-03, 9.98e-04]
14600 [1.79e-03, 9.98e-04]
14800 [1.78e-03, 9.97e-04]
15000 [1.76e-03, 9.97e-04]
15200 [1.75e-03, 9.96e-04]
15400 [1.74e-03, 9.96e-04]
15600 [1.72e-03, 9.96e-04]
15800 [1.71e-03, 9.95e-04]
16000 [1.70e-03, 9.95e-04]
16200 [1.68e-03, 9.95e-04]
16400 [1.67e-03, 9.94e-04]
16600 [1.66e-03, 9.94e-04]
16800 [1.65e-03, 9.94e-04]
17000 [1.64e-03, 9.93e-04]
17200 [1.63e-03, 9.93e-04]
17400 [1.62e-03, 9.93e-04]
17600 [1.61e-03, 9.92e-04]
17800 [1.60e-03, 9.92e-04]
18000 [1.59e-03, 9.92e-04]
18200 [1.58e-03, 9.92e-04]
18400 [1.57e-03, 9.92e-04]
18600 [1.56e-03, 9.92e-04]
18800 [1.55e-03, 9.92e-04]
19000 [1.54e-03, 9.91e-04]
19200 [1.53e-03, 9.90e-04]
19400 [1.53e-03, 9.89e-04]
19600 [1.52e-03, 9.88e-04]
19800 [1.52e-03, 9.87e-04]
20000 [1.50e-03, 9.92e-04]
20200 [1.49e-03, 9.97e-04]
20400 [1.48e-03, 1.00e-03]
20600 [1.49e-03, 9.90e-04]
20800 [1.45e-03, 1.02e-03]
21000 [1.47e-03, 9.96e-04]
21200 [1.49e-03, 9.75e-04]
21400 [1.49e-03, 9.75e-04]
21600 [1.45e-03, 1.01e-03]
21800 [1.40e-03, 1.04e-03]
22000 [1.48e-03, 9.74e-04]
22200 [1.40e-03, 1.03e-03]
22400 [1.42e-03, 1.01e-03]
22600 [1.42e-03, 1.01e-03]
22800 [1.41e-03, 1.01e-03]
