0 [5.00e-02, 1.00e+00]
1000 [2.79e-03, 1.84e+00]
2000 [9.59e-03, 1.35e+00]
3000 [8.66e-03, 1.46e+00]
4000 [1.13e-02, 1.44e+00]
5000 [1.69e-02, 1.48e+00]
6000 [2.70e-02, 1.57e+00]
7000 [3.65e-02, 1.63e+00]
8000 [4.51e-02, 1.69e+00]
9000 [5.32e-02, 1.74e+00]
10000 [6.11e-02, 1.78e+00]
11000 [6.91e-02, 1.82e+00]
12000 [7.53e-02, 1.85e+00]
13000 [8.07e-02, 1.87e+00]
14000 [8.44e-02, 1.89e+00]
15000 [8.69e-02, 1.90e+00]
16000 [8.90e-02, 1.91e+00]
17000 [8.97e-02, 1.92e+00]
18000 [9.14e-02, 1.93e+00]
19000 [9.30e-02, 1.94e+00]
20000 [9.25e-02, 1.95e+00]
21000 [9.44e-02, 1.95e+00]
22000 [9.49e-02, 1.95e+00]
23000 [9.46e-02, 1.96e+00]
24000 [9.52e-02, 1.96e+00]
25000 [9.60e-02, 1.96e+00]
26000 [9.62e-02, 1.97e+00]
27000 [9.59e-02, 1.97e+00]
28000 [9.65e-02, 1.97e+00]
29000 [9.68e-02, 1.97e+00]
30000 [9.65e-02, 1.97e+00]
31000 [9.68e-02, 1.97e+00]
32000 [9.74e-02, 1.98e+00]
33000 [9.75e-02, 1.98e+00]
34000 [9.73e-02, 1.98e+00]
35000 [9.75e-02, 1.98e+00]
36000 [9.74e-02, 1.98e+00]
37000 [9.76e-02, 1.98e+00]
38000 [9.82e-02, 1.98e+00]
39000 [9.65e-02, 1.98e+00]
40000 [9.81e-02, 1.98e+00]
41000 [9.67e-02, 1.99e+00]
42000 [9.67e-02, 1.98e+00]
43000 [9.86e-02, 1.99e+00]
44000 [9.84e-02, 1.99e+00]
45000 [9.80e-02, 1.98e+00]
46000 [9.88e-02, 1.99e+00]
47000 [9.88e-02, 1.99e+00]
48000 [9.89e-02, 1.99e+00]
49000 [9.88e-02, 1.99e+00]
50000 [9.89e-02, 1.99e+00]
51000 [9.86e-02, 1.99e+00]
52000 [9.87e-02, 1.99e+00]
53000 [9.88e-02, 1.99e+00]
54000 [9.88e-02, 1.99e+00]
55000 [9.89e-02, 1.99e+00]
56000 [9.87e-02, 1.99e+00]
57000 [9.71e-02, 1.99e+00]
58000 [9.89e-02, 1.99e+00]
59000 [9.83e-02, 1.99e+00]
60000 [9.67e-02, 1.99e+00]
61000 [9.89e-02, 1.99e+00]
62000 [9.68e-02, 1.99e+00]
63000 [9.85e-02, 1.99e+00]
64000 [9.82e-02, 1.99e+00]
65000 [9.90e-02, 1.99e+00]
66000 [9.88e-02, 1.99e+00]
67000 [9.89e-02, 1.99e+00]
68000 [9.90e-02, 1.99e+00]
69000 [9.77e-02, 1.99e+00]
70000 [9.82e-02, 1.99e+00]
71000 [9.89e-02, 1.99e+00]
72000 [9.80e-02, 1.99e+00]
73000 [9.88e-02, 1.99e+00]
74000 [9.89e-02, 1.99e+00]
75000 [9.89e-02, 1.99e+00]
76000 [9.81e-02, 1.99e+00]
77000 [9.86e-02, 1.99e+00]
78000 [9.83e-02, 1.99e+00]
79000 [9.78e-02, 1.99e+00]
